geneid	1 human	2 chimpanzee	3 Rhesus monkey	4 mouse	5 rat	6 dog	7 cow	8 chicken	9 western clawed frog	10 zebrafish	11 fruit fly	12 malaria mosquito	13 nematode	14 budding yeast	15 fission yeast	16 ascomycetes	17 ascomycetes	18 rice blast fungus	19 ascomycetes	20 thale cress	21 rice
1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
9	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
10	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0
14	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1
15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
19	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
20	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
21	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
23	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1
24	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
25	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
26	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
27	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
28	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
30	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1
31	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
32	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
33	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
34	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
35	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
36	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0
37	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
40	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
43	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0
47	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1
48	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1
